,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
170,turukhansk,65.82,87.98,28.02,95,100,4.83,RU,1588714456
171,morondava,-20.28,44.28,76.62,67,0,5.86,MG,1588714456
172,belaya gora,68.53,146.42,23.92,96,66,5.39,RU,1588714415
173,ilulissat,69.22,-51.1,28.4,63,0,6.93,GL,1588714457
174,chunskiy,56.08,99.63,37.06,89,100,15.19,RU,1588714457
175,chulman,56.85,124.91,33.73,86,0,3.06,RU,1588714457
176,severo-kurilsk,50.68,156.12,34.2,90,100,35.63,RU,1588714458
177,margate,51.38,1.39,48.49,82,0,18.92,GB,1588714208
178,aras,42.56,-2.36,59.0,62,6,3.0,ES,1588714458
179,russell,32.35,-85.2,85.55,43,20,10.29,US,1588714232
180,bayan,46.08,127.4,48.04,52,0,3.04,CN,1588714458
181,college,64.86,-147.8,56.53,32,20,3.78,US,1588714458
182,ossora,59.24,163.07,32.67,97,100,19.24,RU,1588714459
183,dingle,11.0,122.67,80.06,82,4,3.11,PH,1588714459
184,brezoaiele,44.58,25.73,57.2,93,100,1.12,RO,1588714459
185,stokmarknes,68.56,14.91,36.19,76,100,13.0,NO,1588714459
186,fereydun kenar,36.69,52.52,70.59,56,55,4.25,IR,1588714459
187,narsaq,60.92,-46.05,44.6,86,100,12.75,GL,1588714193
188,kikwit,-5.04,18.82,72.81,89,61,2.42,CD,1588714460
189,jaguey grande,22.53,-81.13,89.6,35,20,13.87,CU,1588714460
190,webuye,0.61,34.77,63.12,90,97,3.27,KE,1588714460
191,borkenes,68.77,16.17,30.99,98,100,14.0,NO,1588714460
192,grand gaube,-20.01,57.66,73.0,84,17,3.0,MU,1588714461
193,niquelandia,-14.47,-48.46,73.15,68,40,1.9,BR,1588714410
194,kavaratti,10.57,72.64,84.51,81,100,13.89,IN,1588714231
195,jiexiu,37.02,111.91,58.86,44,20,3.27,CN,1588714461
196,suluq,31.67,20.25,60.3,63,0,8.55,LY,1588714461
197,cockburn town,21.46,-71.14,79.57,82,0,14.43,TC,1588714412
198,hambantota,6.12,81.12,81.46,82,81,9.86,LK,1588714462
199,sinnamary,5.38,-52.95,79.11,85,99,13.02,GF,1588714462
200,la asuncion,11.03,-63.86,80.51,78,25,19.93,VE,1588714462
201,tasiilaq,65.61,-37.64,35.6,55,29,1.12,GL,1588714462
202,yatou,37.15,122.38,52.12,81,17,5.03,CN,1588714336
203,nantucket,41.28,-70.1,53.31,50,1,13.87,US,1588714340
204,berdigestyakh,62.1,126.7,36.45,77,99,4.65,RU,1588714463
205,porto novo,6.5,2.6,82.4,83,20,6.93,BJ,1588714463
206,hastings,50.86,0.57,45.25,87,13,1.01,GB,1588714407
207,manado,1.49,124.85,75.2,100,20,2.24,ID,1588714464
208,zeven,53.3,9.28,44.33,66,39,1.99,DE,1588714464
209,orocue,4.79,-71.34,87.31,69,54,1.3,CO,1588714464
210,caravelas,-17.71,-39.25,72.75,75,25,4.54,BR,1588714346
211,seminole,28.71,-81.21,89.31,40,20,10.29,US,1588714464
212,saldanha,-33.01,17.94,60.8,82,95,5.82,ZA,1588714200
213,asfi,32.3,-9.24,65.68,77,17,15.48,MA,1588714313
214,nanakuli,21.39,-158.15,81.63,51,40,11.41,US,1588714364
215,sambava,-14.27,50.17,74.57,90,64,7.29,MG,1588714465
216,tambopata,-12.73,-69.18,82.24,74,56,1.14,PE,1588714465
217,petauke,-14.24,31.33,61.72,74,0,9.1,ZM,1588714465
218,luderitz,-26.65,15.16,74.57,26,0,9.8,NA,1588714380
219,okha,53.57,142.95,32.0,96,62,9.89,RU,1588714466
220,victoria,22.29,114.16,81.03,78,100,4.0,HK,1588714403
221,dikson,73.51,80.55,7.09,92,100,9.04,RU,1588714192
222,khorramshahr,30.44,48.17,91.4,29,90,55.25,IR,1588714315
223,viedma,-40.81,-63.0,52.29,71,58,11.5,AR,1588714417
224,san jeronimo,-11.95,-75.28,59.04,57,81,4.74,PE,1588714467
225,dombarovskiy,50.76,59.54,52.38,48,4,10.09,RU,1588714467
226,mangla,31.89,72.38,81.36,39,0,4.34,PK,1588714467
227,vega de alatorre,20.03,-96.63,86.5,63,78,9.08,MX,1588714394
228,hami,42.8,93.45,62.24,36,100,28.34,CN,1588714467
229,iwanai,42.97,140.51,49.32,57,99,2.26,JP,1588714468
230,calama,-22.47,-68.93,71.6,10,0,17.22,CL,1588714468
231,aksu,41.12,80.26,64.33,48,100,4.79,CN,1588714468
232,padang,-0.95,100.35,77.86,88,100,8.97,ID,1588714468
233,constitucion,-35.33,-72.42,60.26,55,0,12.5,CL,1588714234
234,livingston,55.9,-3.52,45.48,87,1,3.36,GB,1588714469
235,liaocheng,36.44,115.96,56.59,67,57,6.44,CN,1588714469
236,bahile,10.0,118.79,80.6,88,75,4.7,PH,1588714469
237,hanzhong,33.07,107.03,67.6,68,85,3.94,CN,1588714469
238,iskateley,67.68,53.15,31.73,97,99,11.63,RU,1588714469
239,treinta y tres,-33.23,-54.38,54.82,70,59,14.79,UY,1588714469
240,wawa,9.9,4.42,88.05,45,0,5.12,NG,1588714470
241,longyearbyen,78.22,15.64,30.2,68,75,26.4,SJ,1588714407
242,norman wells,65.28,-126.83,46.4,52,20,10.29,CA,1588714201
243,mackay,-21.15,149.2,64.4,82,32,12.75,AU,1588714470
244,tual,-5.67,132.75,83.03,81,73,14.74,ID,1588714470
245,tongliao,43.61,122.27,51.22,47,0,4.65,CN,1588714471
246,luwuk,-0.95,122.79,78.71,80,8,3.42,ID,1588714193
247,massaguet,12.48,15.44,91.4,31,1,5.82,TD,1588714471
248,ketchikan,55.34,-131.65,51.8,62,75,23.04,US,1588714272
249,aljezur,37.32,-8.8,64.99,86,1,5.99,PT,1588714471
250,airai,-8.93,125.41,61.41,100,35,3.24,TL,1588714217
251,athmallik,20.72,84.53,86.74,63,44,4.34,IN,1588714472
252,matara,5.95,80.54,79.61,87,82,4.92,LK,1588714472
253,vibo valentia,38.7,16.13,62.6,88,75,6.93,IT,1588714472
254,baker city,44.77,-117.83,70.25,15,1,12.75,US,1588714329
255,phek,25.67,94.5,53.78,100,26,1.1,IN,1588714472
256,bowmore,34.94,-79.3,76.57,64,1,4.7,US,1588714473
257,radishchevo,52.85,47.88,57.09,57,5,12.53,RU,1588714473
258,takhatgarh,25.33,73.0,86.7,30,0,5.7,IN,1588714473
259,bursa,40.17,29.08,48.2,93,17,1.12,TR,1588714473
260,bondo,3.81,23.69,68.7,97,100,1.23,CD,1588714473
261,bar harbor,44.39,-68.2,49.87,46,90,11.41,US,1588714444
262,nangomba,-10.9,38.5,72.1,88,78,3.13,TZ,1588714474
263,teluk nibung,3.0,99.82,77.29,89,98,6.02,ID,1588714474
264,young,-32.68,-57.63,57.99,68,56,4.0,UY,1588714474
265,mount gambier,-37.83,140.77,50.0,76,100,10.29,AU,1588714253
266,olinda,-8.01,-34.86,84.2,74,40,9.17,BR,1588714475
267,kaya,13.09,-1.08,98.38,20,98,4.16,BF,1588714469
268,lompoc,34.64,-120.46,67.21,59,1,18.34,US,1588714475
269,shetpe,44.17,52.12,66.47,31,86,27.63,KZ,1588714475
